trial_in_run,trial_global,val_rmse,best_iteration,best_score,param__n_estimators,param__learning_rate,param__max_depth,param__min_child_weight,param__subsample,param__colsample_bytree,param__reg_alpha,param__reg_lambda,param__gamma,param__objective,param__random_state,param__tree_method,param__n_jobs
0,0,373.00676362974446,706,0.873952265636428,5000,0.0679068280376356,3,10.412594423600476,0.6979567415213905,0.6558151714100575,8.364819722541105e-08,15.146263000684453,0.0008096527657152,reg:squarederror,42,hist,8
1,1,397.9424383555679,536,0.8820084636325594,5000,0.0586473605003183,3,0.5648770979871255,0.6874551899214414,0.8021421152413449,1.733100418589909e-08,1.2492383432925724,0.0070625240546103,reg:squarederror,42,hist,8
2,2,357.7188085660387,520,0.8710511607071985,5000,0.0511664412921314,6,3.145803792480999,0.7112762832922651,0.9477201283171736,0.0674941767032076,1.0430103957532886,6.36106133800241e-05,reg:squarederror,42,hist,8
3,3,353.59557422719183,1655,0.8470908701766354,5000,0.022988940193715,6,25.17906654186499,0.7346378180450507,0.6370983373520591,7.420743007191677e-08,24.771866852354822,0.0027135278439339,reg:squarederror,42,hist,8
4,4,372.5836042317609,201,0.8708897070242436,5000,0.1122271912674896,10,4.492257636714323,0.9892463055917482,0.7514137508833414,0.0009297489176577,22.791837133093534,0.0036870393383772,reg:squarederror,42,hist,8
5,5,355.757297507027,170,0.8635276672742549,5000,0.1321619764446547,6,8.949634430885759,0.6183297534622648,0.6911593102606187,4.022459428732787e-06,0.7220278644953136,1.244852733394201e-06,reg:squarederror,42,hist,8
6,6,355.5156533413318,1843,0.8491697972660499,5000,0.0135333679355704,7,3.2003840729414894,0.9336441706563,0.6650616388624339,1.5755649177599847e-05,10.94763610213834,0.0207196693779305,reg:squarederror,42,hist,8
7,7,392.7648529356084,53,0.9264723116340534,5000,0.0775025543487395,4,6.054761820169987,0.6684554592792388,0.8916507191801397,2.9554420206694097e-07,2.869993332888068,8.048411181200635,reg:squarederror,42,hist,8
8,8,377.2190889501256,242,0.8790931375562268,5000,0.0680234860515252,6,8.247412008548425,0.9371407680759238,0.910399964618498,1.1519473968379427e-06,0.5796562089516792,6.903628811131403e-06,reg:squarederror,42,hist,8
9,9,364.4550810017399,754,0.885100002147094,5000,0.0223017483358592,6,21.02152145362898,0.8268720205914009,0.8871657082875903,8.196697288414109e-07,4.9823303909256085,0.9165335877855358,reg:squarederror,42,hist,8
10,10,372.5988128882906,1668,0.8657347195607358,5000,0.0686071795670953,5,1.4789960141790204,0.6986510030775934,0.8245472536652603,2.3156583090169025e-06,7.381455141076525,1.2033887646665302,reg:squarederror,42,hist,8
11,11,351.96150335521673,961,0.848820624216536,5000,0.0330850684480682,6,29.67331613450527,0.6553326979563423,0.7974063339558524,0.0633927245687541,26.37398917925305,2.37449836093676e-07,reg:squarederror,42,hist,8
12,12,361.2292749485112,447,0.8513418392695946,5000,0.0161488419100548,9,5.747453523733034,0.7539069246698,0.8383553713444513,0.0001630981331517,1.5914692228786491,0.0009528687099554,reg:squarederror,42,hist,8
13,13,367.35522461188384,334,0.8872118754953153,5000,0.1683180997576233,4,8.149935082425085,0.8147881321635181,0.7067300759810171,0.0058702444582254,0.8357460863155058,8.182523401223881e-05,reg:squarederror,42,hist,8
14,14,357.7554177036778,629,0.8623250471181773,5000,0.0389321288167303,7,26.73831544545723,0.904784879620826,0.8030726698417301,9.071882262348913e-08,8.903697395324835,0.3758582899870089,reg:squarederror,42,hist,8
15,15,369.3545102119454,330,0.8687807643477695,5000,0.0457598547373222,6,0.9348487266333708,0.9050043200300604,0.8157516120478503,0.1017743430431989,5.750125833533492,1.0119220634419168e-08,reg:squarederror,42,hist,8
