year,n,mae,rmse,r2,sum_observed,sum_pred
2021,393,176.9669812440646,384.02817031195724,0.7567126664328255,136199.88,157189.52791167208
2022,393,182.06494649959797,514.7896680470998,0.6441691522181043,145276.74,157548.4463162075
2023,393,178.40201453759533,387.29140435221444,0.7266436850821687,130752.44999999998,158578.32733144952
2024,393,207.19294278914364,590.3077234771844,0.5684427609779377,149231.52,158928.31381903368
