UBIGEO,NOMBDEP,Región,Cluster,baseline_pred_ha,scenario,scenario_pred_ha,delta_ha,pct_delta
100403,HUANUCO,SIERRA,1,83.91274200639396,good,60.39012625198008,-23.522615754413877,-0.2803223347488932
220705,SAN MARTIN,SELVA,1,49.06420272659643,good,48.23351039413103,-0.8306923324653965,-0.016930721102191678
160702,LORETO,SELVA,4,611.8062752366151,good,562.8027177643498,-49.00355747226524,-0.08009652639360915
220902,SAN MARTIN,SELVA,1,21.366172638282496,good,19.140308742928912,-2.2258638953535836,-0.10417700601021204
10521,AMAZONAS,SIERRA,1,4.129292851425595,good,3.078899753785563,-1.0503930976400322,-0.2543760240394175
100502,HUANUCO,SIERRA,1,5.082807890696964,good,5.489895379796904,0.40708748909993986,0.08009106341497382
160110,LORETO,SELVA,1,274.7233800854269,good,225.0157542267269,-49.70762585870003,-0.1809370059557477
160803,LORETO,SELVA,4,671.183538147978,good,650.1889331180223,-20.994605029955665,-0.03127997609698067
220601,SAN MARTIN,SELVA,4,395.93678894284346,good,395.0585831672048,-0.8782057756386621,-0.002218045405640338
120205,JUNIN,SIERRA,1,3.2774874925256494,good,3.8602771210406024,0.582789628514953,0.177815973316149
220405,SAN MARTIN,SELVA,1,67.14450836239506,good,69.49866522800411,2.354156865609056,0.03506104852094687
220403,SAN MARTIN,SELVA,1,28.25306024291326,good,24.508178553784603,-3.7448816891286576,-0.13254782515348898
100103,HUANUCO,SIERRA,1,207.82856114106005,good,205.72796129307545,-2.100599847984597,-0.010107368479344141
100802,HUANUCO,SIERRA,4,410.5897746184132,good,428.7492522502261,18.159477631812933,0.044227788304493636
250103,UCAYALI,SELVA,5,2577.136573977871,good,2187.797860472539,-389.3387135053322,-0.15107414850908685
190308,PASCO,SELVA,5,2289.983081380116,good,2330.443533584753,40.46045220463702,0.017668450275297454
100905,HUANUCO,SELVA,3,3202.5895882252044,good,3136.461760404173,-66.12782782103113,-0.020648236684513026
160202,LORETO,SELVA,5,1617.326320182197,good,1693.0774732723823,75.75115309018543,0.04683727219727174
